annotation_text	cl_id	cl_label	article_id_pmc	enrichment	grounding_cl_id	grounding_cl_label	result
outer hair cell	CL:0000601	cochlear outer hair cell	10147377	{'name': 'outer hair cell', 'full_name': 'outer hair cell', 'paper_synonyms': 'OHC', 'tissue_context': 'cochlea; OHC region'}	CL:0000601	cochlear outer hair cell	TRUE
SGN	CL:0011113	spiral ganglion neuron	10147377	{'name': 'SGN', 'full_name': 'spiral ganglion neuron', 'paper_synonyms': 'spiral ganglion neuron', 'tissue_context': 'cochlea; inner spiral bundle (ISB)'}	CL:0011113	spiral ganglion neuron	TRUE
spiral ganglion neuron	CL:0011113	spiral ganglion neuron	10147377	{'name': 'spiral ganglion neuron', 'full_name': 'spiral ganglion neuron', 'paper_synonyms': 'SGN', 'tissue_context': 'cochlea; inner spiral bundle (ISB)'}	CL:0011113	spiral ganglion neuron	TRUE
motor neuron	CL:0000100	motor neuron	10147377	{'name': 'motor neuron', 'full_name': 'motor neuron', 'paper_synonyms': None, 'tissue_context': 'ventral brainstem'}	CL:0000100	motor neuron	TRUE
neuronal	CL:0000540	neuron	10147377	{'name': 'neuronal', 'full_name': None, 'paper_synonyms': None, 'tissue_context': None}	CL:0000540	neuron	TRUE
oligodendrocyte	CL:0000128	oligodendrocyte	10147377	{'name': 'oligodendrocyte', 'full_name': 'oligodendrocyte', 'paper_synonyms': None, 'tissue_context': 'ventral brainstem'}	CL:0000128	oligodendrocyte	TRUE
brainstem motor neurons	CL:2000047	brainstem motor neuron	10147377	{'name': 'brainstem motor neurons', 'full_name': 'brainstem motor neurons', 'paper_synonyms': None, 'tissue_context': 'ventral brainstem; facial motor nucleus (VII); trigeminal motor nucleus (V)'}	CL:2000047	brainstem motor neuron	TRUE
endocrine	CL:0008024	pancreatic endocrine cell	10313850	{'name': 'endocrine', 'full_name': 'endocrine cells', 'paper_synonyms': 'islet cells; Langerhans islet cells', 'tissue_context': 'islets of Langerhans; endocrine pancreas'}	CL:0000163	endocrine cell	FALSE
exocrine cells	CL:1001599	pancreas exocrine glandular cell	10313850	{'name': 'exocrine cells', 'full_name': 'exocrine pancreatic cells', 'paper_synonyms': None, 'tissue_context': 'exocrine pancreas; exocrine acini; interlobular duct; intralobular ducts; secretory ducts'}	CL:1001599	pancreas exocrine glandular cell	TRUE
endocrine and exocrine cells	CL:0008024	pancreatic endocrine cell	10313850	{'name': 'endocrine and exocrine cells', 'full_name': 'endocrine and exocrine pancreatic cells', 'paper_synonyms': None, 'tissue_context': 'pancreas; pancreatic tissue'}	NO MATCH found		FALSE
exocrine acinar cells	CL:0002064	pancreatic acinar cell	10313850	{'name': 'exocrine acinar cells', 'full_name': 'acinar cells of the exocrine pancreas', 'paper_synonyms': 'acinar cells', 'tissue_context': 'exocrine pancreas; exocrine acini'}	CL:0002064	pancreatic acinar cell	TRUE
islet cells	CL:0008024	pancreatic endocrine cell	10313850	{'name': 'islet cells', 'full_name': 'Langerhans islet cells', 'paper_synonyms': None, 'tissue_context': 'islets of Langerhans; endocrine pancreas'}	CL:0008024	pancreatic endocrine cell	TRUE
cardiomyocytes	CL:0000746	cardiac muscle cell	10394006	{'name': 'cardiomyocytes', 'full_name': 'cardiomyocytes', 'paper_synonyms': 'beating cardiomyocytes; CMCs', 'tissue_context': 'heart; embryonic heart; post-MI hearts'}	CL:0000746	cardiac muscle cell	TRUE
CMCs	CL:0000746	cardiac muscle cell	10394006	{'name': 'CMCs', 'full_name': 'beating cardiomyocytes', 'paper_synonyms': 'beating cardiomyocytes', 'tissue_context': 'heart'}	CL:0000746	cardiac muscle cell	TRUE
cardiac	CL:0002494	cardiocyte	10394006	{'name': 'cardiac', 'full_name': None, 'paper_synonyms': None, 'tissue_context': None}	NO MATCH found		FALSE
fibroblast	CL:0000057	fibroblast	10463598	{'name': 'fibroblast', 'full_name': 'fibroblast', 'paper_synonyms': None, 'tissue_context': 'advanced OA synovium; lining layer; sublining layer'}	CL:0000057	fibroblast	TRUE
synovial macrophage	CL:0002302	type A synovial cell	10204300	{'name': 'synovial macrophage', 'full_name': 'synovial macrophage', 'paper_synonyms': None, 'tissue_context': 'synovium; OA synovium'}	CL:0002302	type A synovial cell	TRUE
Lin-Sca-1 + c-Kit +	CL:0001008	Kit and Sca1-positive hematopoietic stem cell	10244168	{'name': 'Lin-Sca-1 + c-Kit +', 'full_name': 'Lin-Sca-1+ c-Kit+', 'paper_synonyms': 'LSK', 'tissue_context': 'bone marrow (BM); spleen (SPL)'}	CL:0001008	Kit and Sca1-positive hematopoietic stem cell	TRUE
LSK	CL:0001008	Kit and Sca1-positive hematopoietic stem cell	10244168	{'name': 'LSK', 'full_name': 'Lin-Sca-1+ c-Kit+', 'paper_synonyms': 'Lin-Sca-1+ c-Kit+', 'tissue_context': 'bone marrow (BM); spleen (SPL)'}	CL:0001008	Kit and Sca1-positive hematopoietic stem cell	TRUE
multipotent progenitors	CL:0000837	hematopoietic multipotent progenitor cell	10244168	{'name': 'multipotent progenitors', 'full_name': 'multipotent progenitors', 'paper_synonyms': 'MPPs', 'tissue_context': 'bone marrow (BM); spleen (SPL)'}	CL:0000837	hematopoietic multipotent progenitor cell	TRUE
MPPs	CL:0000837	hematopoietic multipotent progenitor cell	10244168	{'name': 'MPPs', 'full_name': 'multipotent progenitors', 'paper_synonyms': 'multipotent progenitors', 'tissue_context': 'bone marrow (BM); spleen (SPL)'}	CL:0000837	hematopoietic multipotent progenitor cell	TRUE
long-term HSCs	CL:0002034	long term hematopoietic stem cell	10244168	{'name': 'long-term HSCs', 'full_name': 'long-term hematopoietic stem cells', 'paper_synonyms': 'HSC LT', 'tissue_context': 'bone marrow (BM); spleen (SPL)'}	CL:0002034	long term hematopoietic stem cell	TRUE
HSCLT	CL:0002034	long term hematopoietic stem cell	10244168	{'name': 'HSCLT', 'full_name': 'long-term hematopoietic stem cells', 'paper_synonyms': 'HSC LT; long-term HSCs', 'tissue_context': 'bone marrow (BM); spleen (SPL)'}	CL:0002034	long term hematopoietic stem cell	TRUE
short-term HSCs	CL:0002033	short term hematopoietic stem cell	10244168	{'name': 'short-term HSCs', 'full_name': 'short-term hematopoietic stem cells', 'paper_synonyms': 'HSC ST', 'tissue_context': 'bone marrow (BM); spleen (SPL)'}	CL:0002033	short term hematopoietic stem cell	TRUE
HSCST	CL:0002033	short term hematopoietic stem cell	10244168	{'name': 'HSCST', 'full_name': 'short-term hematopoietic stem cells', 'paper_synonyms': 'HSC ST; short-term HSCs', 'tissue_context': 'bone marrow (BM); spleen (SPL)'}	CL:0002033	short term hematopoietic stem cell	TRUE
erythroid	CL:0000764	erythroid lineage cell	10244168	{'name': 'erythroid', 'full_name': None, 'paper_synonyms': None, 'tissue_context': 'bone marrow (BM); spleen (SPL)'}	CL:0000764	erythroid lineage cell	TRUE
Proerythroblasts	CL:0000547	proerythroblast	10244168	{'name': 'Proerythroblasts', 'full_name': 'Proerythroblasts', 'paper_synonyms': None, 'tissue_context': 'bone marrow (BM); spleen (SPL)'}	CL:0000547	proerythroblast	TRUE
basophilic erythroblasts	CL:0000549	basophilic erythroblast	10244168	{'name': 'basophilic erythroblasts', 'full_name': 'basophilic erythroblasts', 'paper_synonyms': None, 'tissue_context': 'bone marrow (BM); spleen (SPL)'}	CL:0000549	basophilic erythroblast	TRUE
polychromatic erythroblasts	CL:0000550	polychromatophilic erythroblast	10244168	{'name': 'polychromatic erythroblasts', 'full_name': 'polychromatic erythroblasts', 'paper_synonyms': None, 'tissue_context': 'bone marrow (BM); spleen (SPL)'}	CL:0000550	polychromatophilic erythroblast	TRUE
orthochromatic erythroblasts	CL:0000552	orthochromatic erythroblast	10244168	{'name': 'orthochromatic erythroblasts', 'full_name': 'orthochromatic erythroblasts', 'paper_synonyms': None, 'tissue_context': 'bone marrow (BM); spleen (SPL)'}	CL:0000552	orthochromatic erythroblast	TRUE
erythroblasts	CL:0000765	erythroblast	10244168	{'name': 'erythroblasts', 'full_name': 'erythroblasts', 'paper_synonyms': None, 'tissue_context': 'bone marrow (BM); spleen (SPL)'}	CL:0000765	erythroblast	TRUE
erythroid progenitors	CL:0000038	erythroid progenitor cell	10244168	{'name': 'erythroid progenitors', 'full_name': 'erythroid progenitors', 'paper_synonyms': 'erythroid precursors', 'tissue_context': 'bone marrow (BM); spleen (SPL)'}	CL:0000038	erythroid progenitor cell	TRUE
Lymphoid cell	CL:0000542	lymphocyte	10544225	{'name': 'Lymphoid cell', 'full_name': 'lymphoid cell', 'paper_synonyms': None, 'tissue_context': 'femoral atherosclerotic plaque; carotid atherosclerotic plaque'}	CL:0000542	lymphocyte	TRUE
T cell	CL:0000084	T cell	10544225	{'name': 'T cell', 'full_name': 'T cell', 'paper_synonyms': 'T cells', 'tissue_context': 'femoral atherosclerotic plaque; carotid atherosclerotic plaque'}	CL:0000084	T cell	TRUE
CD4+ T cells	CL:0000624	CD4-positive, alpha-beta T cell	10544225	{'name': 'CD4+ T cells', 'full_name': 'CD4+ T cells', 'paper_synonyms': 'CD4 + T cells', 'tissue_context': 'femoral atherosclerotic plaque; carotid atherosclerotic plaque'}	CL:0000624	CD4-positive, alpha-beta T cell	TRUE
Treg	CL:0000815	regulatory T cell	10544225	{'name': 'Treg', 'full_name': 'Treg', 'paper_synonyms': 'Tregs', 'tissue_context': 'femoral atherosclerotic plaque; carotid atherosclerotic plaque'}	CL:0000815	regulatory T cell	TRUE
CD8+ T cells	CL:0000625	CD8-positive, alpha-beta T cell	10544225	{'name': 'CD8+ T cells', 'full_name': 'CD8+ T cells', 'paper_synonyms': 'CD8 + T cells', 'tissue_context': 'femoral atherosclerotic plaque; carotid atherosclerotic plaque'}	CL:0000625	CD8-positive, alpha-beta T cell	TRUE
T helper type 1 (Th1) cells	CL:0000545	T-helper 1 cell	10544225	{'name': 'T helper type 1 (Th1) cells', 'full_name': 'T helper type 1 (Th1) cells', 'paper_synonyms': 'Th1; Th1 effector cells', 'tissue_context': 'femoral atherosclerotic plaque; carotid atherosclerotic plaque'}	CL:0000545	T-helper 1 cell	TRUE
Th1 effector cells	CL:0000545	T-helper 1 cell	10544225	{'name': 'Th1 effector cells', 'full_name': 'T helper type 1 effector cells', 'paper_synonyms': 'Th1; T helper type 1 (Th1) cells', 'tissue_context': 'femoral atherosclerotic plaque; carotid atherosclerotic plaque'}	CL:0000545	T-helper 1 cell	TRUE
CD3-expressing T cells	CL:0000084	T cell	10544225	{'name': 'CD3-expressing T cells', 'full_name': 'CD3-expressing T cells', 'paper_synonyms': None, 'tissue_context': 'femoral atherosclerotic plaque; carotid atherosclerotic plaque'}	CL:0000084	T cell	TRUE
NK cells	CL:0000623	natural killer cell	10544225	{'name': 'NK cells', 'full_name': 'NK cells', 'paper_synonyms': None, 'tissue_context': 'femoral atherosclerotic plaque; carotid atherosclerotic plaque'}	CL:0000623	natural killer cell	TRUE
CD79-expressing B cells	CL:0000236	B cell	10544225	{'name': 'CD79-expressing B cells', 'full_name': 'CD79-expressing B cells', 'paper_synonyms': 'CD79A+ B cells', 'tissue_context': 'femoral atherosclerotic plaque; carotid atherosclerotic plaque'}	CL:0000236	B cell	TRUE
B cell	CL:0000236	B cell	10544225	{'name': 'B cell', 'full_name': 'B cell', 'paper_synonyms': 'B cells', 'tissue_context': 'femoral atherosclerotic plaque; carotid atherosclerotic plaque'}	CL:0000236	B cell	TRUE
type 1 B cells	CL:0000819	B-1 B cell	10544225	{'name': 'type 1 B cells', 'full_name': 'type 1 B cells', 'paper_synonyms': 'B1', 'tissue_context': 'femoral atherosclerotic plaque; carotid atherosclerotic plaque'}	CL:0000819	B-1 B cell	TRUE
B1	CL:0000819	B-1 B cell	10544225	{'name': 'B1', 'full_name': 'type 1 B cells', 'paper_synonyms': 'B1 cells', 'tissue_context': 'femoral atherosclerotic plaque; carotid atherosclerotic plaque'}	CL:0000819	B-1 B cell	TRUE
type 2 B cells	CL:0000822	B-2 B cell	10544225	{'name': 'type 2 B cells', 'full_name': 'type 2 B cells', 'paper_synonyms': 'B2', 'tissue_context': 'femoral atherosclerotic plaque; carotid atherosclerotic plaque'}	CL:0000822	B-2 B cell	TRUE
B2	CL:0000822	B-2 B cell	10544225	{'name': 'B2', 'full_name': 'type 2 B cells', 'paper_synonyms': 'B2 cells', 'tissue_context': 'femoral atherosclerotic plaque; carotid atherosclerotic plaque'}	CL:0000822	B-2 B cell	TRUE
B1 cells	CL:0000819	B-1 B cell	10544225	{'name': 'B1 cells', 'full_name': 'type 1 B cells', 'paper_synonyms': 'B1', 'tissue_context': 'femoral atherosclerotic plaque; carotid atherosclerotic plaque'}	CL:0000819	B-1 B cell	TRUE
B2 cells	CL:0000822	B-2 B cell	10544225	{'name': 'B2 cells', 'full_name': 'type 2 B cells', 'paper_synonyms': 'B2', 'tissue_context': 'femoral atherosclerotic plaque; carotid atherosclerotic plaque'}	CL:0000822	B-2 B cell	TRUE
T cells	CL:0000084	T cell	10544225	{'name': 'T cells', 'full_name': 'T cells', 'paper_synonyms': 'T cell', 'tissue_context': 'femoral atherosclerotic plaque; carotid atherosclerotic plaque'}	CL:0000084	T cell	TRUE
EC	CL:0000115	endothelial cell	10607880	{'name': 'EC', 'full_name': 'endothelial cells', 'paper_synonyms': 'endothelial cells; EC', 'tissue_context': 'blood vessels; dorsal root ganglion (DRG)'}	CL:0000115	endothelial cell	TRUE
DRG neurons	CL:1001451	sensory neuron of dorsal root ganglion	10607880	{'name': 'DRG neurons', 'full_name': 'dorsal root ganglion neurons', 'paper_synonyms': 'dorsal root ganglion (DRG) neurons; DRG neuronal cell culture', 'tissue_context': 'dorsal root ganglion (DRG); DRG tissue; DRG neuronal cell culture'}	CL:1001451	sensory neuron of dorsal root ganglion	TRUE
oocyte	CL:0000023	oocyte	10530015	{'name': 'oocyte', 'full_name': 'oocyte', 'paper_synonyms': None, 'tissue_context': 'Drosophila egg chamber; mature oocytes'}	CL:0000023	oocyte	TRUE
M2 than M1 human macrophages	CL:0000890	alternatively activated macrophage	10465384	{'name': 'M2 than M1 human macrophages', 'full_name': 'M2-like human macrophages', 'paper_synonyms': 'M2-like (pro-tumor macrophages); M1-like (anti-tumor macrophages); human monocyte-derived macrophages (HMDMs); THP-1 macrophages', 'tissue_context': 'prostate cancer tumor microenvironment (TME)'}	CL:0000890	alternatively activated macrophage	TRUE
